6004314210	0
6003319713	1
6002055513	1
5994839708	0
5991525204	1
5989718714	0
5986621813	0
5986140306	1
5985930706	0
5985417606	1
5984946706	0
5932814112	1
5932278302	1
4631607800	1
5931350914	1
5930919704	1
5236059601	0
4327686009	0
5235612004	0
5235592906	0
5929960907	1
5235515212	0
5235451302	1
5235366113	1
5926793900	1
5926297601	1
5926133800	1
5924934513	0
5234893211	1
5234644406	1
5234564007	1
5924720010	1
5924620503	1
5923839812	0
5922861314	1
5234253313	0
5234220406	0
5234183214	0
5233811803	1
5233654812	0
5922229214	1
5233273713	0
5233242113	1
5919428800	0
3872941402	0
5919114203	1
5918860304	1
5917741509	1
5232710114	0
5232589606	0
5232314908	1
5232303609	0
5916662502	1
5916059500	1
5915722210	1
5232131711	1
5915242910	1
5231304213	1
5231189007	1
5231031604	0
4317760800	0
5912340611	1
5911875907	1
4041277305	0
5230809807	1
5230535210	0
5229999007	1
5911047311	1
5909190502	1
5908424206	1
5908210907	1
5229704707	0
5229089211	0
5228640700	1
5227919214	1
5227703600	1
5905662005	0
5905384802	0
5903014014	1
5227008206	1
5226771113	1
5901898512	1
5900723108	0
5900297914	0
5899631809	0
5226330211	0
5225053106	1
5224737412	1
5895328201	1
5894317109	1
5224193408	0
5223988302	1
5223574809	1
4032549609	1
5222838706	1
5222406214	0
5222389802	0
5221862701	1
5221752708	1
5221219912	1
5893709714	0
4622565208	0
5892306902	0
5891264812	1
5890535102	0
5889969204	1
5888781700	1
5886369501	1
4618036005	1
5885442313	1
5221186800	1
5221184708	1
5221168513	1
5221016506	1
5220819305	1
5220739007	0
4432608800	1
5220417913	1
5219671900	1
5219649114	1
5219633708	1
5219476705	1
5219382113	1
5219203507	1
5218625906	1
5217161200	1
5216716213	0
5216391810	1
5214794707	0
5214407106	0
5214120105	1
4412734913	1
5883774807	1
5882437101	1
5213545606	0
5213099212	1
5212733014	1
5212090313	0
5881796407	1
5880114206	1
5879913510	1
5879896806	1
5879017514	0
5878991313	1
5878195711	0
5878066409	0
5877561007	1
5877144408	1
5876762400	1
5876111301	0
5876040709	1
5875606806	0
5875148800	1
4136789004	1
5211440204	1
5211264801	1
5871342510	0
5870927213	1
4136545003	1
5210772007	1
5210499502	1
5209862211	0
4135450908	1
5209815108	1
5209732306	1
5209666308	1
5209565814	1
5209429905	0
5209419312	1
5209378408	1
5209000508	1
5208690813	1
5208629604	1
5870243013	1
5870107406	0
5869841514	1
4133193302	1
5868534109	1
5868177200	1
5866969900	1
5866492907	1
5866175403	1
4490275301	1
5865460102	0
5206905108	0
